Image,Algorithm,New Size,Raw,% Saved,Time,Verified,MSE,PSNR
4.1.01.tiff,Run-length encoding,65792,65536,-0.390625,0.08923053741455078,100,,
4.1.01.tiff,Huffman coding,65092,65536,0.677490234375,0.35114049911499023,100,,
4.1.01.tiff,LZ77,78032,65536,-19.0673828125,24.479230403900146,100,,
4.1.02.tiff,Run-length encoding,65792,65536,-0.390625,0.08550214767456055,100,,
4.1.02.tiff,Huffman coding,58288,65536,11.0595703125,0.7537500858306885,100,,
4.1.02.tiff,LZ77,69218,65536,-5.6182861328125,25.310773372650146,100,,
4.1.03.tiff,Run-length encoding,65660,65536,-0.189208984375,0.08888673782348633,100,,
4.1.03.tiff,Huffman coding,50187,65536,23.42071533203125,0.6841320991516113,100,,
4.1.03.tiff,LZ77,49138,65536,25.0213623046875,23.58622980117798,100,,
4.1.04.tiff,Run-length encoding,65792,65536,-0.390625,0.11026573181152344,100,,
4.1.04.tiff,Huffman coding,66806,65536,-1.9378662109375,0.7774398326873779,100,,
4.1.04.tiff,LZ77,75542,65536,-15.2679443359375,28.17018175125122,100,,
4.1.05.tiff,Run-length encoding,65792,65536,-0.390625,0.0379643440246582,100,,
4.1.05.tiff,Huffman coding,58569,65536,10.63079833984375,0.24558258056640625,100,,
4.1.05.tiff,LZ77,64312,65536,1.86767578125,11.033440351486206,100,,
4.1.06.tiff,Run-length encoding,65540,65536,-0.006103515625,0.05409836769104004,100,,
4.1.06.tiff,Huffman coding,67207,65536,-2.54974365234375,0.2560298442840576,100,,
4.1.06.tiff,LZ77,87048,65536,-32.82470703125,13.57132339477539,100,,
4.1.07.tiff,Run-length encoding,62278,65536,4.9713134765625,0.045083045959472656,100,,
4.1.07.tiff,Huffman coding,52552,65536,19.81201171875,0.33347105979919434,100,,
4.1.07.tiff,LZ77,39162,65536,40.2435302734375,8.509922981262207,100,,
4.1.08.tiff,Run-length encoding,63108,65536,3.704833984375,0.05909585952758789,100,,
4.1.08.tiff,Huffman coding,56989,65536,13.04168701171875,0.28678178787231445,100,,
4.1.08.tiff,LZ77,48560,65536,25.9033203125,9.05869722366333,100,,
4.2.01.tiff,Run-length encoding,262656,262144,-0.1953125,0.24301671981811523,100,,
4.2.01.tiff,Huffman coding,266419,262144,-1.6307830810546875,1.063384771347046,100,,
4.2.01.tiff,LZ77,222884,262144,14.97650146484375,35.7561821937561,100,,
4.2.03.tiff,Run-length encoding,262656,262144,-0.1953125,0.13783478736877441,100,,
4.2.03.tiff,Huffman coding,271832,262144,-3.6956787109375,1.0154731273651123,100,,
4.2.03.tiff,LZ77,446194,262144,-70.20950317382812,58.98018026351929,100,,
4.2.05.tiff,Run-length encoding,262656,262144,-0.1953125,0.15878534317016602,100,,
4.2.05.tiff,Huffman coding,246678,262144,5.899810791015625,0.8895058631896973,100,,
4.2.05.tiff,LZ77,254952,262144,2.7435302734375,38.032492876052856,100,,
4.2.06.tiff,Run-length encoding,262656,262144,-0.1953125,0.1240854263305664,100,,
4.2.06.tiff,Huffman coding,275565,262144,-5.1197052001953125,0.9102480411529541,100,,
4.2.06.tiff,LZ77,356560,262144,-36.016845703125,54.822747468948364,100,,
4.2.07.tiff,Run-length encoding,262656,262144,-0.1953125,0.46521425247192383,100,,
4.2.07.tiff,Huffman coding,279639,262144,-6.6738128662109375,2.376319646835327,100,,
4.2.07.tiff,LZ77,342002,262144,-30.463409423828125,114.6131420135498,100,,
5.1.09.tiff,Run-length encoding,65792,65536,-0.390625,0.09921646118164062,100,,
5.1.09.tiff,Huffman coding,62176,65536,5.126953125,1.1898236274719238,100,,
5.1.09.tiff,LZ77,92454,65536,-41.0736083984375,24.871817111968994,100,,
5.1.10.tiff,Run-length encoding,65792,65536,-0.390625,0.10193300247192383,100,,
5.1.10.tiff,Huffman coding,67620,65536,-3.179931640625,0.6076846122741699,100,,
5.1.10.tiff,LZ77,109888,65536,-67.67578125,34.31956076622009,100,,
5.1.11.tiff,Run-length encoding,65540,65536,-0.006103515625,0.15610051155090332,100,,
5.1.11.tiff,Huffman coding,58607,65536,10.57281494140625,2.1137337684631348,100,,
5.1.11.tiff,LZ77,52894,65536,19.2901611328125,21.758633375167847,100,,
5.1.12.tiff,Run-length encoding,65792,65536,-0.390625,0.07130026817321777,100,,
5.1.12.tiff,Huffman coding,60161,65536,8.20159912109375,0.4711925983428955,100,,
5.1.12.tiff,LZ77,67130,65536,-2.4322509765625,32.69051551818848,100,,
5.1.13.tiff,Run-length encoding,17956,65536,72.601318359375,0.043921470642089844,100,,
5.1.13.tiff,Huffman coding,16329,65536,75.08392333984375,0.5079009532928467,100,,
5.1.13.tiff,LZ77,12858,65536,80.3802490234375,8.87360405921936,100,,
5.1.14.tiff,Run-length encoding,65792,65536,-0.390625,0.07433247566223145,100,,
5.1.14.tiff,Huffman coding,67822,65536,-3.4881591796875,0.4498748779296875,100,,
5.1.14.tiff,LZ77,100194,65536,-52.8839111328125,20.747299671173096,100,,
5.2.08.tiff,Run-length encoding,262656,262144,-0.1953125,0.42806339263916016,100,,
5.2.08.tiff,Huffman coding,266115,262144,-1.5148162841796875,2.517996072769165,100,,
5.2.08.tiff,LZ77,309664,262144,-18.12744140625,105.91368865966797,100,,
5.2.09.tiff,Run-length encoding,262150,262144,-0.002288818359375,0.2100508213043213,100,,
5.2.09.tiff,Huffman coding,258262,262144,1.480865478515625,1.636845350265503,100,,
5.2.09.tiff,LZ77,340466,262144,-29.877471923828125,110.35066556930542,100,,
5.2.10.tiff,Run-length encoding,262158,262144,-0.005340576171875,0.4231271743774414,100,,
5.2.10.tiff,Huffman coding,212293,262144,19.016647338867188,2.26056170463562,100,,
5.2.10.tiff,LZ77,186084,262144,29.01458740234375,86.00456619262695,100,,
5.3.01.tiff,Run-length encoding,1049600,1048576,-0.09765625,1.5855369567871094,100,,
5.3.01.tiff,Huffman coding,1096875,1048576,-4.606151580810547,9.805239915847778,100,,
5.3.01.tiff,LZ77,1404282,1048576,-33.922767639160156,669.0767779350281,100,,
5.3.02.tiff,Run-length encoding,1049600,1048576,-0.09765625,2.0202059745788574,100,,
5.3.02.tiff,Huffman coding,1011231,1048576,3.5614967346191406,9.7953782081604,100,,
5.3.02.tiff,LZ77,1439260,1048576,-37.25852966308594,713.495584487915,100,,
7.1.01.tiff,Run-length encoding,262656,262144,-0.1953125,0.5497994422912598,100,,
7.1.01.tiff,Huffman coding,223298,262144,14.818572998046875,2.2433102130889893,100,,
7.1.01.tiff,LZ77,222882,262144,14.977264404296875,114.73036503791809,100,,
7.1.02.tiff,Run-length encoding,259656,262144,0.9490966796875,0.21109342575073242,100,,
7.1.02.tiff,Huffman coding,148239,262144,43.45130920410156,1.6772997379302979,100,,
7.1.02.tiff,LZ77,93018,262144,64.51644897460938,91.57515239715576,100,,
7.1.03.tiff,Run-length encoding,262656,262144,-0.1953125,0.575432300567627,100,,
7.1.03.tiff,Huffman coding,202614,262144,22.708892822265625,2.1569857597351074,100,,
7.1.03.tiff,LZ77,206654,262144,21.167755126953125,111.64383172988892,100,,
7.1.04.tiff,Run-length encoding,262656,262144,-0.1953125,0.3412032127380371,100,,
7.1.04.tiff,Huffman coding,226578,262144,13.567352294921875,2.254586935043335,100,,
7.1.04.tiff,LZ77,213696,262144,18.4814453125,109.43482208251953,100,,
7.1.05.tiff,Run-length encoding,262656,262144,-0.1953125,0.45958495140075684,100,,
7.1.05.tiff,Huffman coding,244090,262144,6.887054443359375,2.7632479667663574,100,,
7.1.05.tiff,LZ77,300094,262144,-14.476776123046875,134.8095259666443,100,,
7.1.06.tiff,Run-length encoding,262656,262144,-0.1953125,0.5300149917602539,100,,
7.1.06.tiff,Huffman coding,249232,262144,4.925537109375,2.220261812210083,100,,
7.1.06.tiff,LZ77,322674,262144,-23.090362548828125,118.6635000705719,100,,
7.1.07.tiff,Run-length encoding,262656,262144,-0.1953125,0.5500717163085938,100,,
